date             pg            sp
19781130       0.039394      0.016640
19781229       0.036443      0.014889
19790131      -0.040788      0.039746
19790228      -0.038462     -0.036526
19790330      -0.003077      0.055152
19790430      -0.001852      0.001673
19790531       0.007813     -0.026336
19790629      -0.046512      0.038656
19790731      -0.024715      0.008746
19790831       0.080944      0.053078
19790928      -0.035881      0.000000
19791031      -0.027832     -0.068606
19791130      -0.003367      0.042624
19791231       0.003378      0.016767
19800131      -0.017172      0.057625
19800229      -0.012132     -0.004380
19800331      -0.049123     -0.101795
19800430       0.067897      0.041140
19800530       0.089161      0.046571
19800630      -0.052970      0.026969
19800731       0.104407      0.065039
19800829      -0.024845      0.005835
19800930      -0.089172      0.025168
19801031      -0.040909      0.016021
19801128       0.040665      0.102377
19801231      -0.021314     -0.033874
19810130      -0.013430     -0.045742
19810227       0.065299      0.013277
19810331      -0.012259      0.036033
19810430       0.031206     -0.023456
19810529      -0.017422     -0.001657
19810630       0.074468     -0.010408
19810731      -0.028713     -0.002210
19810831      -0.044750     -0.062099
19810930       0.063063     -0.053832
19811030       0.075254      0.049148
19811130       0.025559      0.036590
19811231       0.001558     -0.030075
19820129       0.073717     -0.017544
19820226      -0.023460     -0.060548
19820331      -0.006006     -0.010167
19820430       0.047432      0.040014
19820528      -0.020438     -0.039162
19820630      -0.010432     -0.020290
19820730       0.038253     -0.022991
19820831       0.117474      0.115977
19820930       0.030223      0.007614
19821029       0.093622      0.110364
19821130       0.120141      0.036123
19821231      -0.005258      0.015158
19830131      -0.038478      0.033134
19830228       0.015556      0.018995
19830331       0.063457      0.033095
19830429      -0.000412      0.074922
19830531      -0.103950     -0.012346
19830630       0.023202      0.035224
19830729      -0.050340     -0.033014
19830831       0.033816      0.011319
19830930       0.039720      0.010158
19831031       0.008539     -0.015174
19831130       0.067568      0.017426
19831230      -0.040084     -0.008834
19840131      -0.101538     -0.009216
19840229      -0.066832     -0.038859
19840330       0.023873      0.013498
19840430      -0.005699      0.005466
19840531       0.039578     -0.059356
19840629       0.063452      0.017469
19840731       0.017184     -0.016451
19840831       0.064133      0.106332
19840928      -0.002232     -0.003480
19841031       0.049664     -0.000060
19841130      -0.004310     -0.015112
19841231      -0.012987      0.022374
19850131      -0.001754      0.074085
19850228       0.011111      0.008685
19850329      -0.024176     -0.002925
19850430      -0.049099     -0.004594
19850531       0.033573      0.054051
19850628       0.044084      0.012134
19850731       0.029333     -0.004848
19850830       0.004367     -0.011995
19850930      -0.019565     -0.034724
19851031       0.135698      0.042509
19851129       0.059172      0.065062
19851231       0.039106      0.045061
19860131      -0.046237      0.002367
19860228       0.047438      0.071489
19860331       0.067029      0.052794
19860430       0.007470     -0.014148
19860530       0.059524      0.050229
19860630       0.028892      0.014110
19860731      -0.025897     -0.058683
19860829       0.033926      0.071193
19860930      -0.153125     -0.085439
19861031       0.116974      0.054729
19861128       0.036667      0.021477
19861231      -0.017685     -0.028288
19870130       0.161047      0.131767
19870227      -0.014205      0.036924
19870331       0.060519      0.026390
19870430      -0.071467     -0.011450
19870529       0.079646      0.006034
19870630       0.071038      0.047915
19870731      -0.042857      0.048224
19870831       0.104698      0.034959
19870930      -0.018226     -0.024166
19871030      -0.119554     -0.217630
19871130      -0.077904     -0.085349
19871231       0.049155      0.072861
19880129       0.002343      0.040432
19880229      -0.007364      0.041817
19880331      -0.075668     -0.033343
